SlNo,Mnemonic,Command,Delay,Argument,Read,ReadBinary,Port
79,setTraceModeOBW,:TRAC:OBW:TYPE,0,TRUE,FALSE,FALSE,Control
80,setScreenDumpVSA,:MMEM:STOR:BITM,0,TRUE,FALSE,FALSE,Alternate
81,setMeasurementContinuous,:INITiate:CONTinuous,1,TRUE,FALSE,FALSE,Alternate
82,setMeasurementStart,:INITiate:RESTart,0,FALSE,FALSE,FALSE,Alternate
83,setMeasurementStop,:INITiate:PAUSe,0,FALSE,FALSE,FALSE,Alternate
84,getTableHeader,:TRAC#:DATA:TABL:NAME?,0,FALSE,TRUE,FALSE,Alternate
85,getTableData,:TRAC#:DATA:TABL?,0,FALSE,TRUE,TRUE,Alternate
86,getTableDataAsString,:TRAC#:DATA:TABL?,0,TRUE,TRUE,FALSE,Alternate
87,getSelectedInstrument,:INST:SEL?,0,FALSE,TRUE,FALSE,Control
88,setSpanVSAMode,:SENS:FREQ:SPAN,0,TRUE,FALSE,FALSE,Alternate
89,setRBWVSAMode,:SENS:BAND:RES,0,TRUE,FALSE,FALSE,Alternate
90,setVSAMode,:INST:SEL VSA89601,2,TRUE,FALSE,FALSE,Control
91,setPulseModulation,:PULS:MOD:CW:ENAB 1,2,False,FALSE,FALSE,Alternate
92,setSpectrogramMode,:TRAC#:SPEC:STYL,2,TRUE,FALSE,FALSE,Alternate
93,setRange,:INPUT:ANAL:RANG:CHAN#:DBM,2,TRUE,FALSE,FALSE,Alternate
94,setClearScreen,*CLS,2,FALSE,FALSE,FALSE,Alternate
95,setPulseMeasurementMode,:MEAS:CONF PULS,2,FALSE,FALSE,FALSE,Alternate
96,setPulseAcquisitionTime,:PULS:TIME:LENG,2,TRUE,FALSE,FALSE,Alternate
97,setPulseAnalysisLength,:PULS:ANAL:WIDT:FREQ,2,TRUE,FALSE,FALSE,Alternate
98,setQuickCal,:CALibration:QUICk,2,FALSE,FALSE,FALSE,Alternate
99,setOverlayEnable,:TRACe1:OVERLAY:ENAB 1,2,FALSE,TRUE,FALSE,Alternate
100,setReset,*RST,2,FALSE,FALSE,FALSE,Alternate
